crime_id,original_crime_type_name,report_date,call_date,offense_date,call_time,call_date_time,disposition,address,city,state,agency_id,address_type,common_location
183653545,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:47,2018-12-31T22:47:00.000,Not recorded,300 Block Of Geary St,San Francisco,CA,1,Common Location,"Union Square, Sf"
183653543,Person W/gun,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:46,2018-12-31T22:46:00.000,UTL,3100 Block Of 16th St,San Francisco,CA,1,Premise Address,
183653550,601,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:46,2018-12-31T22:46:00.000,GOA,100 Block Of Powell St,San Francisco,CA,1,Premise Address,
183653546,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:45,2018-12-31T22:45:00.000,PAS,2200 Block Of Santiago St,San Francisco,CA,1,Premise Address,
183653539,Noise Nuisance,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:45,2018-12-31T22:45:00.000,CAN,3600 Block Of 20th St,San Francisco,CA,1,Premise Address,
183653531,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:44,2018-12-31T22:44:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653537,22500e,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:43,2018-12-31T22:43:00.000,HAN,1100 Block Of Shotwell St,San Francisco,CA,1,Premise Address,
183653523,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:41,2018-12-31T22:41:00.000,Not recorded,Market St/main St,San Francisco,CA,1,Intersection,
183653528,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:41,2018-12-31T22:41:00.000,PAS,100 Block Of Mercedes Wy,San Francisco,CA,1,Premise Address,
183653515,22500f,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:39,2018-12-31T22:39:00.000,GOA,700 Block Of Naples St,San Francisco,CA,1,Premise Address,
183653514,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:37,2018-12-31T22:37:00.000,PAS,900 Block Of Oak St,San Francisco,CA,1,Premise Address,
183653513,Well Being Check,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:37,2018-12-31T22:37:00.000,UTL,Columbus Av/bay St,San Francisco,CA,1,Intersection,
183653508,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:35,2018-12-31T22:35:00.000,HAN,100 Block Of 34th Av,San Francisco,CA,1,Common Location,Legion Of Honor
183653505,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:34,2018-12-31T22:34:00.000,ADV,4800 Block Of 17th St,San Francisco,CA,1,Premise Address,
183653503,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:33,2018-12-31T22:33:00.000,Not recorded,400 Block Of Clement St,San Francisco,CA,1,Premise Address,
183653501,Auto Boost / Strip,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:32,2018-12-31T22:32:00.000,REP,Post St/webster St,San Francisco,CA,1,Intersection,
183653495,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,CIT,The Embarcadero Nor/green St,San Francisco,CA,1,Intersection,
183653493,Veh Accident,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,HAN,0 Block Of The Embarcadero Sou,San Francisco,CA,1,Common Location,"Ferry Bldg, Sf"
183653497,Jo,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,UTL,Sacramento St/leavenworth St,San Francisco,CA,1,Intersection,
183653491,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653488,Meet W/officer,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,HAN,Mission St/the Embarcadero Sou,San Francisco,CA,1,Intersection,
183653500,Caser,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,REP,600 Blk Minna St,San Francisco,CA,1,Geo-Override,
183653492,Traf Violation Tow,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,Not recorded,549 Flood Ave,,CA,1,Geo-Override,
183653486,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:28,2018-12-31T22:28:00.000,HAN,Broadway/the Embarcadero Nor,San Francisco,CA,1,Intersection,
183653499,Petty Theft,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:27,2018-12-31T22:27:00.000,GOA,100 Block Of Powell St,San Francisco,CA,1,Premise Address,
183653482,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:27,2018-12-31T22:27:00.000,ND,Broadway/the Embarcadero Nor,San Francisco,CA,1,Intersection,
183653477,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:26,2018-12-31T22:26:00.000,CIT,800 Block Of Vallejo St,San Francisco,CA,1,Premise Address,
183653473,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:25,2018-12-31T22:25:00.000,HAN,1500 Block Of Haight St,San Francisco,CA,1,Common Location,"Haight St Corridor, Sf"
183653472,Injury Veh Accident,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:24,2018-12-31T22:24:00.000,REP,Ocean Av/geneva Av,San Francisco,CA,1,Intersection,
183653468,Auto Boost / Strip,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:24,2018-12-31T22:24:00.000,REP,21st St/san Carlos St,San Francisco,CA,1,Intersection,
183653470,Traf Violation Cite,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:24,2018-12-31T22:24:00.000,CIT,500 Block Of Flood Av,San Francisco,CA,1,Premise Address,
183653459,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:20,2018-12-31T22:20:00.000,Not recorded,0 Blk Clement St,San Francisco,CA,1,Geo-Override,
183653456,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:19,2018-12-31T22:19:00.000,Not recorded,The Embarcadero Sou/folsom St,San Francisco,CA,1,Intersection,
183653454,Well Being Check,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:19,2018-12-31T22:19:00.000,REP,Hayes St/van Ness Av,San Francisco,CA,1,Intersection,
183653453,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:19,2018-12-31T22:19:00.000,HAN,800 Block Of Mission St,San Francisco,CA,1,Premise Address,
183653455,Traf Violation Cite,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:19,2018-12-31T22:19:00.000,Not recorded,200 Block Of Sickles Av,San Francisco,CA,1,Premise Address,
183653449,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:18,2018-12-31T22:18:00.000,ADV,1500 Block Of Sunnydale Av,San Francisco,CA,1,Premise Address,
183653460,601,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:18,2018-12-31T22:18:00.000,HAN,100 Block Of Eddy St,San Francisco,CA,1,Premise Address,
183653462,Suspicious Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:17,2018-12-31T22:17:00.000,ND,400 Block Of Irving St,San Francisco,CA,1,Premise Address,
183653447,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:17,2018-12-31T22:17:00.000,CIT,4th St/townsend St,San Francisco,CA,1,Intersection,
183653448,Suspicious Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:17,2018-12-31T22:17:00.000,ADV,Folsom St/mabini St,San Francisco,CA,1,Intersection,
183653445,Homeless Complaint,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:16,2018-12-31T22:16:00.000,ADV,400 Block Of 11th St,San Francisco,CA,1,Common Location,"Dna Lounge, Sf"
183653474,Well Being Check,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:16,2018-12-31T22:16:00.000,UTL,300 Block Of Grant Av,San Francisco,CA,1,Premise Address,
183653450,Suspicious Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:14,2018-12-31T22:14:00.000,GOA,Long Bridge St/4th St,San Francisco,CA,1,Intersection,
183653443,Traf Violation Cite,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:14,2018-12-31T22:14:00.000,CIT,200 Block Of Sickles Av,San Francisco,CA,1,Premise Address,
183653439,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:13,2018-12-31T22:13:00.000,HAN,11th St/folsom St,San Francisco,CA,1,Intersection,
183653434,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:12,2018-12-31T22:12:00.000,Not recorded,500 Block Of Clement St,San Francisco,CA,1,Common Location,"Clement St Corridor, Sf"
183653435,Fight No Weapon,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:12,2018-12-31T22:12:00.000,HAN,Davis St/broadway,San Francisco,CA,1,Intersection,
183653433,Silent Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:09,2018-12-31T22:09:00.000,PAS,300 Block Of Powell St,San Francisco,CA,1,Premise Address,
183653425,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:08,2018-12-31T22:08:00.000,HAN,100 Block Of Christmas Tree Point Rd,San Francisco,CA,1,Common Location,Twin Peaks Viewpoint
183653427,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:07,2018-12-31T22:07:00.000,CAN,Block Of Haight St,San Francisco,CA,1,Premise Address,
183653430,518,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:06,2018-12-31T22:06:00.000,HAN,100 Block Of Cyril Magnin St,San Francisco,CA,1,Common Location,"Wyndham Parc 55 Hotel, Sf"
183653420,H&r Veh Accident,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:06,2018-12-31T22:06:00.000,REP,200 Block Of Williams Av,San Francisco,CA,1,Premise Address,
183653426,Suspicious Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:06,2018-12-31T22:06:00.000,REP,100 Block Of Francisco St,San Francisco,CA,1,Premise Address,
